start,duration
3509590,10755
4381122,10038
7509517,5974
7648987,10538
8277664,347
11509551,5120
11519828,9986
14189556,321
15509543,4529
15655460,319
18379052,316
18396797,322
18422548,315
19509550,5923
19519848,327
23509549,16167
27509540,42466
31509535,4454
32391912,316
32484783,3067
35509536,4185
39509525,5439
43509529,3367
47509539,3893
51509530,3163
55509535,4103
57837750,315
59437823,321
59509544,6370
59770871,313
59780666,326
59867079,1198
59870575,322
59876893,317
59920999,321
59930350,317
60913387,313
60980506,317
61001287,333
61015922,320
61024300,326
61072477,322
63509528,16855
67509544,5660
71509544,3484
74383647,311
74391772,321
74493030,317
74501464,316
75509545,7213
75523566,314
75541871,322
75555990,318
75563863,315
79509574,4946
83509529,2845
87509526,3042
91509547,2989
95509547,2937
99509550,3661
103509552,2791
103618488,319
103724420,314
107509542,3106
111509534,3064
115509541,2816
117999091,322
118412985,323
118441183,319
118557906,316
118566872,318
118661302,319
118692028,312
118707483,317
118710349,307
118782471,309
118789685,316
118790494,353
119381508,320
119509525,21580
119840827,316
119861817,336
119876574,316
119884582,307
123509567,4844
124246434,318
124340030,311
127509535,3734
128810641,314
128894818,324
128903223,322
129041118,319
129083444,316
129094448,316
129095273,366
129286898,316
129289667,315
129325285,330
129332870,320
129340191,309
129680922,315
129682959,317
129698592,321
129703794,319
129709977,310
129727260,320
129729130,322
129800673,313
129808872,325
129816748,318
129828744,317
129831058,322
129865410,319
129871587,316
130924084,321
130954106,322
130970219,317
130976596,309
131433266,318
131509553,8477
131520207,319
135509555,3539
139498271,318
139509530,3321
139607344,317
139617421,332
139657964,327
139666655,315
143509542,6531
146678566,312
146709420,325
147509546,5647
149008344,316
151509522,3275
155509525,2983
159509550,3206
163509525,3090
167509538,3013
171509550,11770
175509550,3370
179509533,6888
183509521,3132
187509549,2999
189808022,317
191509547,3372
195509550,3484
199509532,3103
203509541,2954
207509529,3128
211509539,3161
215509545,3043
219509537,2959
223509538,3134
227509529,2965
231509545,2744
235509555,3267
236765000,316
236773086,318
236774395,332
236780589,315
236804026,321
236806569,323
236810821,321
236816060,318
239509539,5053
243509544,2875
247509537,13734
251509524,3106
255509551,3022
259509545,3125
260686744,316
260690462,325
260696814,322
263509550,3259
267509540,2740
271509525,2965
275509525,2908
279509542,3021
283509517,2785
287509534,3287
291509533,2939
295509529,2845
299509541,3854
303509540,2921
307509548,2779
311509531,2861
315509535,2723
319509526,2776
322750976,2606
323509553,3061
325418954,314
325420932,322
325427138,309
325430888,322
325437799,320
325738949,313
325740193,320
325753940,318
325756465,321
325761536,320
327509521,3590
331509534,2882
335509541,2878
339509528,2797
343509553,2905
347509530,2998
351112016,2801
351509552,4535
355509544,2745
359509548,4169
363509546,2813
367509545,2780
368873036,2816
371509550,2974
375509538,10481
379509532,3107
382208479,322
382210561,321
382258541,322
382364858,317
382368643,326
382373548,307
382884553,321
382886026,317
382912271,316
383446451,317
383449470,325
383453317,323
383509538,5578
383521193,317
387509558,3813
387515380,318
391509552,3645
391515100,320
395509567,3597
395514865,319
399509557,3913
399515085,320
403509546,3809
403514822,311
407509548,3687
407514845,325
411509558,3702
411514662,316
415509563,4145
415519194,318
419509547,6899
423509561,11809
427509558,3857
431509535,3664
435509562,3571
435514782,319
439509551,3953
439514996,316
443509541,3673
443514727,316
447509558,3756
447518131,314
451509565,2879
455509537,3512
459509533,2627
463509541,2894
467509522,2804
471509532,2961
475509529,2893
479509543,3883
483509541,2702
487509535,2909
491509536,2871
495509529,3648
499509519,2668
503509533,2893
507509541,2826
511509539,2887
515509529,2820
519509526,2866
523509546,2737
527509540,2943
531509544,2827
535509543,2961
539509529,3643
543509522,2953
547509536,2793
551509537,2650
553152459,318
553178917,316
555509538,4737
559509531,3479
563509528,2834
567509536,2889
571509528,2779
575509541,2754
579509522,2805
583509532,2832
587509421,3680
587518985,316
591509554,2991
595509548,2753
599509528,3724
603509542,2816
607509530,2802
611509538,3032
613890474,321
614021233,321
614032973,319
614127649,313
614189803,316
614200916,328
614325601,331
614333224,325
614403987,305
614412231,306
615463767,307
615482397,320
615497071,317
615504821,316
615509521,16010
615637272,332
615790340,311
619509554,3884
623509555,3018
627509547,2744
631509539,2720
635509520,2683
639509524,2965
643509554,2809
647509546,2985
651509546,3155
653556830,315
653566666,322
653572790,319
653582506,324
653584303,316
653586283,307
653588126,324
653589944,316
653592865,320
653598159,318
653614322,319
653617044,316
653622655,323
653623989,319
653626551,319
653631628,317
655509540,4085
659509538,5118
663509532,3629
667509553,3065
671509537,2891
675509519,2879
679509536,2753
683509524,2666
687509542,3009
689709555,2803
691509536,3072
695509527,2825
699509531,2715
702683755,315
702696888,321
702702651,317
703509538,3573
707509541,2801
711509525,2861
715509533,2748
719509530,3877
723509544,2793
727509529,12626
731509545,3486
735509548,2853
739509543,2952
743509531,2808
747509544,2847
751509541,2928
755509523,2695
759509536,10209
763509538,3018
767509534,3282
771509527,2747
775509531,2922
779509520,3613
783509537,2700
787509534,2882
791509530,12332
795509554,3110
799509529,2918
803509539,2817
807509537,2712
811509543,2833
815509538,2803
819509543,2907
823509540,2861
823653918,4070
823659630,358
827509538,3625
827527744,317
831509560,3215
835509552,2864
839509542,3630
843509539,2659
847509517,2915
851509534,2806
855509544,8837
859509525,2933
863509536,2725
867509519,2946
871509539,3421
875509533,2911
879509535,2798
883509535,2647
887509526,2984
891351947,313
891355458,319
891361630,317
891509523,3159
895509540,2691
899509528,3470
903509545,2890
907509555,2779
911509537,2842
915509528,2721
919509537,2640
923509552,2655
927509525,2670
931509539,2845
935509533,2763
939509530,2943
943509537,2795
947509537,2891
951509538,2677
955509542,2641
959509533,3270
963509520,4105
967509531,2888
971509538,2847
975509536,3206
979509546,2927
983509523,2794
984867064,327
984877184,332
984885456,321
985153452,319
985168896,320
985172469,319
985175770,317
985178114,321
985189105,332
985202663,318
985210171,319
985243952,324
985286443,312
985299113,320
985307657,318
986065573,322
986072075,316
986077864,317
986417863,314
986422032,314
987509521,5292
988711670,316
988715522,317
988720712,323
988932739,316
988937249,313
989021360,317
989024592,319
989029439,318
989261710,321
989273507,318
989285536,316
991509528,4356
992153434,314
992157519,316
992163045,320
992278542,321
992281420,317
992286072,325
992339764,316
992344003,319
992345803,320
992347766,316
992356914,319
993318456,316
993322293,329
993327426,325
993614453,316
993618632,366
994321001,322
994324129,316
994328910,320
994580004,331
994609300,359
994618248,317
994624754,316
995017898,315
995021933,323
995027153,322
995131519,318
995135901,321
995210915,316
995214715,323
995219728,316
995354976,319
995363246,319
995368745,318
995509537,5255
999509543,3225
1003509547,4299
1007509537,3358
1011509531,3122
1015509540,3101
1015560323,4164
1015608627,2556
1016174921,2105
1017897679,310
1017901688,320
1017907429,320
1017974237,317
1017981138,306
1018049309,313
1018052304,318
1018057081,322
1019509536,5728
1021119363,321
1021122401,316
1021127574,323
1021175575,311
1021177512,322
1021203968,310
1021331983,314
1021341525,328
1021347256,316
1021422390,316
1021425987,319
1021430939,318
1021635156,362
1021770225,320
1021773932,320
1021779478,316
1021928368,342
1021928710,303
1021941512,322
1023336609,317
1023339590,328
1023344772,314
1023509533,5069
1023572467,320
1023582596,323
1023583691,319
1023593002,309
1023621339,320
1023645202,322
1023657648,319
1023664175,319
